strategy,symbol,signal_date,signal_time,score,entry,stop,target_1r,target_2r,reason,volume_ratio,volume_ratio_tod,vwap_dist,day_change_at_signal,trade_result_1r,realized_r_1r,target_2r_before_stop,first_1r_at,first_2r_at,first_stop_at,return_1d,mfe_1d,mae_1d,result_1d,return_5d,mfe_5d,mae_5d,result_5d,return_15d,mfe_15d,mae_15d,result_15d,return_30d,mfe_30d,mae_30d,result_30d,return_3m,mfe_3m,mae_3m,result_3m
V3,CL,2026-07-15,2026-07-15T13:00:00-04:00,81.0,91.87000274658203,91.1567309117516,92.58327458141247,93.2965464162429,trend 3/3; confirmed OR breakout; time-normalized volume 2.0x; near support; tradable daily range; broad market bull trend; tight VWAP proximity,1.2778551527428539,1.9617594712035697,0.007218197007881955,0.009227770828842408,WIN_1R,1.0,True,2026-07-16T09:30:00-04:00,2026-07-16T09:35:00-04:00,2026-07-21T09:30:00-04:00,0.023946847528792947,0.02645042160147515,0.005769007983583485,UP,-0.0026124467833761322,0.04419285334945533,-0.023076114979880158,DOWN,0.015347730385991465,0.04419285334945533,-0.029389403471386855,UP,0.002068083229906925,0.04419285334945533,-0.02949819313653479,UP,,,,PENDING
V1,CL,2026-07-29,2026-07-29T15:30:00-04:00,75.0,93.26000213623047,92.471269490709,94.04873478175193,94.8374674272734,holding above VWAP; opening-range breakout; volume 2.2x; near support; positive 1M trend,2.2144924630618044,1.7899434912971453,0.008197888866237957,0.005715504800067883,STOP,-1.0,False,2026-08-06T09:30:00-04:00,,2026-07-30T09:30:00-04:00,-0.017799738624115657,-0.003967432319394004,-0.027128444363545667,DOWN,0.00021441821368606284,0.004074600522342653,-0.043855928303654146,UP,-0.02562727144437782,0.009543205760904394,-0.043855928303654146,DOWN,-0.057473734586901304,0.009543205760904394,-0.06390734449873303,DOWN,,,,PENDING
V2,CL,2026-07-29,2026-07-29T12:30:00-04:00,75.0,93.03500366210938,92.2481739078346,93.82183341638415,94.60866317065893,trend 3/3; confirmed OR breakout; time-normalized volume 1.8x; controlled 15m momentum; near support; tradable daily range,0.9963161514959235,1.799106478131506,0.010230242704017734,0.0032891221194264464,STOP,-1.0,False,2026-08-06T09:30:00-04:00,,2026-07-30T09:30:00-04:00,-0.015424357838475844,-0.0015585990944609884,-0.024775624382702532,DOWN,0.0026333649437719764,0.006502882826084688,-0.04154356254126934,UP,-0.023270820984651497,0.011984713493633503,-0.04154356254126934,DOWN,-0.05519430251091417,0.011984713493633503,-0.061643471646223746,DOWN,,,,PENDING
V3,CL,2026-07-29,2026-07-29T12:30:00-04:00,79.0,93.03500366210938,92.2481739078346,93.82183341638415,94.60866317065893,trend 3/3; confirmed OR breakout; time-normalized volume 1.8x; controlled 15m momentum; near support; tradable daily range; sideways market: neutral; tight VWAP proximity,0.9963161514959235,1.799106478131506,0.010230242704017734,0.0032891221194264464,STOP,-1.0,False,2026-08-06T09:30:00-04:00,,2026-07-30T09:30:00-04:00,-0.015424357838475844,-0.0015585990944609884,-0.024775624382702532,DOWN,0.0026333649437719764,0.006502882826084688,-0.04154356254126934,UP,-0.023270820984651497,0.011984713493633503,-0.04154356254126934,DOWN,-0.05519430251091417,0.011984713493633503,-0.061643471646223746,DOWN,,,,PENDING
V2,CL,2026-08-04,2026-08-04T11:30:00-04:00,71.0,91.06999969482422,90.145924818293,91.99407457135544,92.91814944788666,confirmed OR breakout; time-normalized volume 2.6x; controlled 15m momentum; near support; tradable daily range,1.3889749704191459,2.595632855059362,0.008858689223412153,0.013239902956950766,WIN_1R,1.0,True,2026-08-04T14:05:00-04:00,2026-08-05T10:35:00-04:00,2026-08-17T11:05:00-04:00,0.024267037354544607,0.02745141109451521,0.0017569305220770381,UP,0.013615876445863151,0.03382015857445686,0.0017569305220770381,UP,0.0028549702108457975,0.03382015857445686,-0.020972834513179328,UP,-0.044471319483138094,0.03382015857445686,-0.051498874021329244,DOWN,,,,PENDING
V3,CL,2026-08-04,2026-08-04T11:30:00-04:00,87.0,91.06999969482422,90.145924818293,91.99407457135544,92.91814944788666,confirmed OR breakout; time-normalized volume 2.6x; controlled 15m momentum; near support; tradable daily range; broad market bull trend; tight VWAP proximity; strong time-normalized volume,1.3889749704191459,2.595632855059362,0.008858689223412153,0.013239902956950766,WIN_1R,1.0,True,2026-08-04T14:05:00-04:00,2026-08-05T10:35:00-04:00,2026-08-17T11:05:00-04:00,0.024267037354544607,0.02745141109451521,0.0017569305220770381,UP,0.013615876445863151,0.03382015857445686,0.0017569305220770381,UP,0.0028549702108457975,0.03382015857445686,-0.020972834513179328,UP,-0.044471319483138094,0.03382015857445686,-0.051498874021329244,DOWN,,,,PENDING
V1,CL,2026-08-05,2026-08-05T15:30:00-04:00,75.0,92.94000244140625,91.9950840142093,93.8849208686032,94.82983929580016,holding above VWAP; opening-range breakout; volume 2.1x; near support; enough daily range,2.070363829681626,2.2519124336164396,0.002665855123532568,0.004431034988850779,WIN_1R,1.0,False,2026-08-06T09:30:00-04:00,,2026-08-07T09:30:00-04:00,0.0006455515065386663,0.013019141948436008,-0.00850011722374766,UP,-0.006670999895582175,0.013019141948436008,-0.017645785954033877,DOWN,-0.009468526573014668,0.013019141948436008,-0.04067138670111359,DOWN,-0.056057660292803235,0.013019141948436008,-0.07058322590559452,DOWN,,,,PENDING
V2,CL,2026-08-05,2026-08-05T12:00:00-04:00,63.0,92.56500244140625,91.62389662880894,93.50610825400356,94.44721406660088,trend 2/3; confirmed OR breakout; time-normalized volume 1.6x; near support; tradable daily range,0.7184902561637526,1.5707691926941545,0.0031421799567952213,0.00037829528338018115,WIN_1R,1.0,False,2026-08-05T13:50:00-04:00,,2026-08-12T09:30:00-04:00,0.004699373922331995,0.01712309234233489,-0.004483345806532424,UP,-0.0026468183451636706,0.01712309234233489,-0.013666065535396954,DOWN,-0.005455678382682128,0.01712309234233489,-0.03678494776092334,DOWN,-0.05223355433424437,0.01712309234233489,-0.06681796602234624,DOWN,,,,PENDING
V3,CL,2026-08-05,2026-08-05T12:00:00-04:00,75.0,92.56500244140625,91.62389662880894,93.50610825400356,94.44721406660088,trend 2/3; confirmed OR breakout; time-normalized volume 1.6x; near support; tradable daily range; broad market bull trend; tight VWAP proximity,0.7184902561637526,1.5707691926941545,0.0031421799567952213,0.00037829528338018115,WIN_1R,1.0,False,2026-08-05T13:50:00-04:00,,2026-08-12T09:30:00-04:00,0.004699373922331995,0.01712309234233489,-0.004483345806532424,UP,-0.0026468183451636706,0.01712309234233489,-0.013666065535396954,DOWN,-0.005455678382682128,0.01712309234233489,-0.03678494776092334,DOWN,-0.05223355433424437,0.01712309234233489,-0.06681796602234624,DOWN,,,,PENDING
V1,CL,2026-08-12,2026-08-12T13:00:00-04:00,74.0,92.79989624023438,91.93206529758753,93.66772718288122,94.53555812552807,holding above VWAP; opening-range breakout; volume 1.7x; near support; positive 1M trend; enough daily range,1.7065951829237151,2.3799847141161266,0.0031922045701360258,0.005307103180559158,WIN_1R,1.0,False,2026-08-13T10:00:00-04:00,,2026-08-14T10:10:00-04:00,0.0014019850259809896,0.011639032552229311,-0.004093733793684495,UP,-0.020796289347741914,0.011639032552229311,-0.03588252955489335,DOWN,-0.02909375845770301,0.011639032552229311,-0.039223024223025815,DOWN,,,,PENDING,,,,PENDING
V2,CL,2026-08-12,2026-08-12T13:00:00-04:00,77.0,92.79989624023438,91.93206529758753,93.66772718288122,94.53555812552807,trend 3/3; confirmed OR breakout; time-normalized volume 2.4x; near support; tradable daily range,1.7065951829237151,2.3799847141161266,0.0031922045701360258,0.005307103180559158,WIN_1R,1.0,False,2026-08-13T10:00:00-04:00,,2026-08-14T10:10:00-04:00,0.0014019850259809896,0.011639032552229311,-0.004093733793684495,UP,-0.020796289347741914,0.011639032552229311,-0.03588252955489335,DOWN,-0.02909375845770301,0.011639032552229311,-0.039223024223025815,DOWN,,,,PENDING,,,,PENDING
V3,CL,2026-08-12,2026-08-12T13:00:00-04:00,93.0,92.79989624023438,91.93206529758753,93.66772718288122,94.53555812552807,trend 3/3; confirmed OR breakout; time-normalized volume 2.4x; near support; tradable daily range; broad market bull trend; tight VWAP proximity; strong time-normalized volume,1.7065951829237151,2.3799847141161266,0.0031922045701360258,0.005307103180559158,WIN_1R,1.0,False,2026-08-13T10:00:00-04:00,,2026-08-14T10:10:00-04:00,0.0014019850259809896,0.011639032552229311,-0.004093733793684495,UP,-0.020796289347741914,0.011639032552229311,-0.03588252955489335,DOWN,-0.02909375845770301,0.011639032552229311,-0.039223024223025815,DOWN,,,,PENDING,,,,PENDING
V2,CL,2026-08-18,2026-08-18T14:30:00-04:00,65.0,91.80500030517578,90.97228353403055,92.63771707632101,93.47043384746624,confirmed OR breakout; time-normalized volume 2.1x; near support; tradable daily range,1.7652247881289185,2.0957322159525567,0.002141518966128464,0.01768098034464627,WIN_1R,1.0,False,2026-08-19T09:50:00-04:00,,2026-08-19T11:45:00-04:00,-0.010184603839503925,0.012145284680170843,-0.011709568592873087,DOWN,-0.005173993492098683,0.012145284680170843,-0.028811030273666716,DOWN,-0.04111978120287729,0.012145284680170843,-0.049071371259109764,DOWN,,,,PENDING,,,,PENDING
V3,CL,2026-08-18,2026-08-18T14:30:00-04:00,81.0,91.80500030517578,90.97228353403055,92.63771707632101,93.47043384746624,confirmed OR breakout; time-normalized volume 2.1x; near support; tradable daily range; broad market bull trend; tight VWAP proximity; strong time-normalized volume,1.7652247881289185,2.0957322159525567,0.002141518966128464,0.01768098034464627,WIN_1R,1.0,False,2026-08-19T09:50:00-04:00,,2026-08-19T11:45:00-04:00,-0.010184603839503925,0.012145284680170843,-0.011709568592873087,DOWN,-0.005173993492098683,0.012145284680170843,-0.028811030273666716,DOWN,-0.04111978120287729,0.012145284680170843,-0.049071371259109764,DOWN,,,,PENDING,,,,PENDING
V1,CL,2026-08-26,2026-08-26T10:30:00-04:00,68.0,91.92500305175781,91.31999969482422,92.5300064086914,93.135009765625,holding above VWAP; opening-range breakout; volume 2.2x; near support,2.19653591224095,1.6858419726780594,0.0015894406372243264,0.006514849543130197,STOP,-1.0,False,,,2026-08-27T09:30:00-04:00,-0.010497731142220523,-0.002882778143605047,-0.01571933257386593,DOWN,-0.019853190286098332,-0.002882778143605047,-0.02681538085886437,DOWN,-0.04563502372104622,-0.002882778143605047,-0.06032097486271237,DOWN,,,,PENDING,,,,PENDING
V2,CL,2026-08-26,2026-08-26T12:00:00-04:00,63.0,91.94000244140625,91.32416705803608,92.55583782477642,93.17167320814659,trend 2/3; confirmed OR breakout; time-normalized volume 1.7x; near support; tradable daily range,1.5128079641175824,1.705708373244655,0.0003365283613634418,0.006679082427699434,STOP,-1.0,False,,,2026-08-27T09:30:00-04:00,-0.01065916174581516,-0.0030454510752848662,-0.015879911308498418,DOWN,-0.020013094609800497,-0.0030454510752848662,-0.026974149348256926,DOWN,-0.04579072191297473,-0.0030454510752848662,-0.06047427714102682,DOWN,,,,PENDING,,,,PENDING
