Symbol,Company Name,Returns %,Current Value,Period
CREDITACC,CreditAccess Grameen Ltd.,-7.709393706186271,92290.60629381373,1y
MTARTECH,MTAR Technologies Ltd.,-10.644325228577198,89355.67477142281,1y
ZEEL,Zee Entertainment Enterprises Ltd.,-39.36414578856046,60635.85421143954,1y
BDL,Bharat Dynamics Ltd.,668.6536571201854,768653.6571201853,3y
RAYMOND,Raymond Ltd.,347.2464318832503,447246.4318832503,3y
CENTURYTEX,Century Textile & Industries Ltd.,215.603491451497,315603.49145149696,3y
BHARTIARTL,Bharti Airtel Ltd.,176.893050754374,276893.050754374,3y
RATNAMANI,Ratnamani Metals & Tubes Ltd.,161.42717813437199,261427.17813437196,3y
KPIL,Kalpataru Projects International Ltd.,154.36017656875353,254360.17656875355,3y
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,127.57223716244633,227572.2371624463,3y
LTF,L&T Finance Ltd.,105.48708834925682,205487.08834925684,3y
INDUSTOWER,Indus Towers Ltd.,98.97263466578016,198972.63466578015,3y
CREDITACC,CreditAccess Grameen Ltd.,91.77450237064888,191774.50237064887,3y
BRITANNIA,Britannia Industries Ltd.,74.95981420330774,174959.81420330773,3y
SAREGAMA,Saregama India Ltd,68.71519862748433,168715.19862748432,3y
ABBOTINDIA,Abbott India Ltd.,61.723412622026984,161723.41262202698,3y
AMBER,Amber Enterprises India Ltd.,41.709578520831435,141709.57852083145,3y
ERIS,Eris Lifesciences Ltd.,36.843968108963374,136843.9681089634,3y
MTARTECH,MTAR Technologies Ltd.,31.151137660386585,131151.13766038656,3y
MASTEK,Mastek Ltd.,1.7519042099802804,101751.90420998029,3y
PRINCEPIPE,Prince Pipes and Fittings Ltd.,0.5975110311130221,100597.51103111303,3y
JUBLINGREA,Jubilant Ingrevia Ltd.,-9.144721932737838,90855.27806726216,3y
ZEEL,Zee Entertainment Enterprises Ltd.,-32.97348678895623,67026.51321104377,3y
BDL,Bharat Dynamics Ltd.,1009.7288773866486,1109728.8773866487,5y
SAREGAMA,Saregama India Ltd,973.4491318970456,1073449.1318970455,5y
MASTEK,Mastek Ltd.,630.5486344578322,730548.6344578323,5y
RATNAMANI,Ratnamani Metals & Tubes Ltd.,479.10994436727395,579109.944367274,5y
AMBER,Amber Enterprises India Ltd.,432.34563492208105,532345.634922081,5y
BHARTIARTL,Bharti Airtel Ltd.,345.9723642961522,445972.3642961522,5y
PRINCEPIPE,Prince Pipes and Fittings Ltd.,313.47306294393826,413473.06294393825,5y
ABBOTINDIA,Abbott India Ltd.,242.88031991599019,342880.31991599017,5y
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,237.95949901644752,337959.4990164476,5y
RAYMOND,Raymond Ltd.,201.81219715411115,301812.1971541111,5y
ERIS,Eris Lifesciences Ltd.,164.39117312889599,264391.1731288959,5y
KPIL,Kalpataru Projects International Ltd.,154.36017656875353,254360.17656875355,5y
CENTURYTEX,Century Textile & Industries Ltd.,151.68969553156145,251689.69553156145,5y
BRITANNIA,Britannia Industries Ltd.,141.760223990232,241760.223990232,5y
CREDITACC,CreditAccess Grameen Ltd.,136.87260407495089,236872.60407495088,5y
JUBLINGREA,Jubilant Ingrevia Ltd.,112.56481420763369,212564.8142076337,5y
INDUSTOWER,Indus Towers Ltd.,95.01061453534835,195010.61453534834,5y
LTF,L&T Finance Ltd.,93.10212946999124,193102.12946999123,5y
MTARTECH,MTAR Technologies Ltd.,75.30652677381504,175306.52677381504,5y
ZEEL,Zee Entertainment Enterprises Ltd.,-64.76743230182976,35232.56769817025,5y
